date,description,amount,category
2025-12-01,"FMG INSURANCE DD 0044817",-1386.90,Insurance
2025-12-05,"COUNTDOWN TE RAPA",-246.80,Personal/Drawings
2025-12-08,"Z ENERGY TE RAPA",-212.40,Fuel
2025-12-09,"RD1 HAMILTON",-1842.70,Feed
2025-12-10,"WAGES DIRECT CREDIT",-4180.22,Wages
2025-12-12,"PGG WRIGHTSON LIVESTOCK PROCEEDS 018330",26880.00,"Livestock Sales"
2025-12-14,"MITRE 10 MEGA TE RAPA",-184.35,Repairs
2025-12-15,"SEALES WINSLOW LTD",-5912.44,Feed
2025-12-18,"VETORA WAIKATO",-684.20,"Vet & Animal Health"
2025-12-19,"PAK N SAVE CLARENCE ST",-318.55,Personal/Drawings
2025-12-20,"FONTERRA CO-OP PAYMENT 000216",92410.18,"Milk Income"
2025-12-20,"IRD PAYE 043-712-889",-1894.00,Wages
2025-12-22,"WAITOMO FUEL LTD BULK DELIVERY",-2204.90,Fuel
2025-12-23,"THE WAREHOUSE TE RAPA",-211.98,Personal/Drawings
2025-12-24,"WAGES DIRECT CREDIT",-4301.77,Wages
2025-12-27,"NETFLIX.COM AUCKLAND",-22.99,Personal/Drawings
2025-12-28,"ANZ RURAL LOAN INTEREST 2201",-7512.44,Interest
2026-01-01,"FMG INSURANCE DD 0044817",-1386.90,Insurance
2026-01-05,"NPD PUKETE",-168.24,Fuel
2026-01-07,"FARMLANDS TE AWAMUTU",-932.60,Feed
2026-01-07,"WAGES DIRECT CREDIT",-4228.09,Wages
2026-01-09,"COUNTDOWN TE RAPA",-287.14,Personal/Drawings
2026-01-12,"BALLANCE AGRI-NUTRIENTS LTD",-6240.80,Fertiliser
2026-01-14,"CAMBRIDGE VET SERVICES",-412.80,"Vet & Animal Health"
2026-01-15,"SEALES WINSLOW LTD",-6081.33,Feed
2026-01-16,"Z ENERGY TE RAPA",-241.87,Fuel
2026-01-20,"FONTERRA CO-OP PAYMENT 000223",88204.55,"Milk Income"
2026-01-20,"IRD PAYE 043-712-889",-1922.00,Wages
2026-01-21,"PGG WRIGHTSON LIVESTOCK PROCEEDS 018702",45850.00,"Livestock Sales"
2026-01-21,"WAGES DIRECT CREDIT",-4415.63,Wages
2026-01-23,"PGG WRIGHTSON LTD",-893.20,Feed
2026-01-26,"BRIDGESTONE TYRE CENTRE HAMILTON",-742.00,Repairs
2026-01-27,"NETFLIX.COM AUCKLAND",-22.99,Personal/Drawings
2026-01-28,"ANZ RURAL LOAN INTEREST 2201",-7512.44,Interest
2026-01-30,"KMART THE BASE TE RAPA",-132.40,Personal/Drawings
2026-02-01,"FMG INSURANCE DD 0044817",-1386.90,
2026-02-02,"WAITOMO FUEL OHAUPO",-272.01,
2026-02-04,"WAGES DIRECT CREDIT",-4207.92,
2026-02-06,"SEALES WINSLOW LTD",-9814.20,
2026-02-07,"BUNNINGS WAREHOUSE TE RAPA",-391.56,
2026-02-08,"COUNTDOWN TE RAPA",-325.92,
2026-02-08,"VETORA WAIKATO",-1770.60,
2026-02-09,"COUNTDOWN TE RAPA",-256.89,
2026-02-09,"CRT COURIER FREIGHT",-68.40,
2026-02-11,"WAITOMO FUEL LTD BULK DELIVERY",-2279.95,
2026-02-12,"BUNNINGS WAREHOUSE TE RAPA",-327.54,
2026-02-12,"CHORUS BROADBAND",-89.95,
2026-02-14,"WAITOMO FUEL OHAUPO",-173.64,
2026-02-15,"SEALES WINSLOW LTD",-6467.26,
2026-02-16,"BUNNINGS WAREHOUSE TE RAPA",-301.99,
2026-02-16,"NEW WORLD TE RAPA",-241.21,
2026-02-16,"WAIKATO MILKING SYSTEMS SERVICE",-1467.30,
2026-02-17,"BRIDGESTONE TYRE CENTRE HAMILTON",-1128.00,
2026-02-18,"WAGES DIRECT CREDIT",-4245.00,
2026-02-18,"WAITOMO FUEL OHAUPO",-346.03,
2026-02-19,"MCDOUGALL AG TRANSPORT PK HAY",-4260.00,
2026-02-20,"FONTERRA CO-OP PAYMENT 000231",78412.55,"Milk Income"
2026-02-20,"IRD PAYE 043-712-889",-1849.67,
2026-02-20,"WAIPA DISTRICT COUNCIL RATES",-4214.00,
2026-02-21,"FARMLANDS TE AWAMUTU",-2964.46,
2026-02-21,"KMART THE BASE TE RAPA",-96.50,
2026-02-24,"PGG WRIGHTSON LIVESTOCK PROCEEDS 019442",25560.00,
2026-02-25,"HAMILTON SADDLERY",-215.00,
2026-02-25,"WAITOMO FUEL OHAUPO",-175.89,
2026-02-26,"PGG WRIGHTSON LIVESTOCK PROCEEDS 019468",12905.00,
2026-02-27,"NETFLIX.COM AUCKLAND",-22.99,
2026-02-27,"RD1 HAMILTON",-1508.28,
2026-02-28,"ANZ RURAL LOAN INTEREST 2201",-7512.44,
2026-02-28,"COUNTDOWN TE AWAMUTU",-302.65,
2026-02-28,"PGG WRIGHTSON LTD",-1263.40,
2026-03-01,"BUNNINGS WAREHOUSE TE RAPA",-270.87,
2026-03-01,"FMG INSURANCE DD 0044817",-1386.90,
2026-03-02,"PAK N SAVE CLARENCE ST",-308.00,
2026-03-03,"CAMBRIDGE VET SERVICES",-388.20,
2026-03-04,"WAGES DIRECT CREDIT",-4130.75,
2026-03-05,"BALLANCE AGRI-NUTRIENTS LTD",-14320.60,
2026-03-06,"HAMILTON HONDA ATV PARTS",-486.20,
2026-03-07,"WAITOMO FUEL OHAUPO",-361.31,
2026-03-08,"VETORA WAIKATO",-1135.36,
2026-03-09,"NEW WORLD TE RAPA",-386.11,
2026-03-09,"SHEARING CONTRACTORS WAIPA LTD",-3120.00,
2026-03-10,"PGG WRIGHTSON LIVESTOCK PROCEEDS 019734",47120.00,
2026-03-11,"RD1 CAMBRIDGE",-2216.16,
2026-03-11,"WAITOMO FUEL LTD BULK DELIVERY",-2646.21,
2026-03-12,"TE RAPA ENGINEERING LTD",-1843.50,
2026-03-12,"WAITOMO FUEL OHAUPO",-430.08,
2026-03-13,"CAMBRIDGE VET SERVICES",-1244.60,
2026-03-14,"THE WAREHOUSE TE RAPA",-134.20,
2026-03-15,"SEALES WINSLOW LTD",-6815.20,
2026-03-16,"RD1 HAMILTON",-742.60,
2026-03-18,"ACC LEVY INVOICE 2026",-2418.77,
2026-03-18,"WAGES DIRECT CREDIT",-4179.29,
2026-03-20,"FONTERRA CO-OP PAYMENT 000247",61830.10,
2026-03-20,"IRD PAYE 043-712-889",-1825.06,
2026-03-20,"NEW WORLD TE RAPA",-333.04,
2026-03-20,"RD1 CAMBRIDGE",-766.09,
2026-03-22,"Z ENERGY TE RAPA",-263.62,
2026-03-23,"GENESIS ENERGY DAIRY SHED",-698.42,
2026-03-23,"RD1 HAMILTON REFUND",742.60,
