farm,month,category,budget,actual
"Riverbend Dairy Ltd",2025-06-01,"Milk Income",30000,28490
"Riverbend Dairy Ltd",2025-07-01,"Milk Income",22000,22883
"Riverbend Dairy Ltd",2025-08-01,"Milk Income",38000,39106
"Riverbend Dairy Ltd",2025-09-01,"Milk Income",72000,68285
"Riverbend Dairy Ltd",2025-10-01,"Milk Income",95000,92065
"Riverbend Dairy Ltd",2025-11-01,"Milk Income",105000,109306
"Riverbend Dairy Ltd",2025-12-01,"Milk Income",98000,94272
"Riverbend Dairy Ltd",2026-01-01,"Milk Income",88000,87059
"Riverbend Dairy Ltd",2026-02-01,"Milk Income",76000,66880
"Riverbend Dairy Ltd",2026-03-01,"Milk Income",68000,59840
"Riverbend Dairy Ltd",2026-04-01,"Milk Income",52000,45760
"Riverbend Dairy Ltd",2026-05-01,"Milk Income",40000,42253
"Riverbend Dairy Ltd",2025-06-01,"Livestock Sales",2000,1905
"Riverbend Dairy Ltd",2025-07-01,"Livestock Sales",3000,2869
"Riverbend Dairy Ltd",2025-08-01,"Livestock Sales",9000,8720
"Riverbend Dairy Ltd",2025-09-01,"Livestock Sales",7000,6951
"Riverbend Dairy Ltd",2025-10-01,"Livestock Sales",2000,2101
"Riverbend Dairy Ltd",2025-11-01,"Livestock Sales",2000,2048
"Riverbend Dairy Ltd",2025-12-01,"Livestock Sales",2000,2070
"Riverbend Dairy Ltd",2026-01-01,"Livestock Sales",2000,1935
"Riverbend Dairy Ltd",2026-02-01,"Livestock Sales",8000,8376
"Riverbend Dairy Ltd",2026-03-01,"Livestock Sales",14000,13889
"Riverbend Dairy Ltd",2026-04-01,"Livestock Sales",16000,15089
"Riverbend Dairy Ltd",2026-05-01,"Livestock Sales",10000,9530
"Riverbend Dairy Ltd",2025-06-01,Feed,14000,14375
"Riverbend Dairy Ltd",2025-07-01,Feed,15000,14154
"Riverbend Dairy Ltd",2025-08-01,Feed,12000,11603
"Riverbend Dairy Ltd",2025-09-01,Feed,8000,7845
"Riverbend Dairy Ltd",2025-10-01,Feed,6000,6175
"Riverbend Dairy Ltd",2025-11-01,Feed,5000,5193
"Riverbend Dairy Ltd",2025-12-01,Feed,7000,6807
"Riverbend Dairy Ltd",2026-01-01,Feed,10000,9798
"Riverbend Dairy Ltd",2026-02-01,Feed,12000,19800
"Riverbend Dairy Ltd",2026-03-01,Feed,12000,12684
"Riverbend Dairy Ltd",2026-04-01,Feed,10000,10035
"Riverbend Dairy Ltd",2026-05-01,Feed,12000,11802
"Riverbend Dairy Ltd",2025-06-01,Fertiliser,2000,2042
"Riverbend Dairy Ltd",2025-07-01,Fertiliser,2000,1931
"Riverbend Dairy Ltd",2025-08-01,Fertiliser,8000,8435
"Riverbend Dairy Ltd",2025-09-01,Fertiliser,12000,12535
"Riverbend Dairy Ltd",2025-10-01,Fertiliser,10000,9998
"Riverbend Dairy Ltd",2025-11-01,Fertiliser,4000,3812
"Riverbend Dairy Ltd",2025-12-01,Fertiliser,2000,1959
"Riverbend Dairy Ltd",2026-01-01,Fertiliser,2000,1994
"Riverbend Dairy Ltd",2026-02-01,Fertiliser,4000,4229
"Riverbend Dairy Ltd",2026-03-01,Fertiliser,10000,10201
"Riverbend Dairy Ltd",2026-04-01,Fertiliser,8000,8243
"Riverbend Dairy Ltd",2026-05-01,Fertiliser,3000,2853
"Riverbend Dairy Ltd",2025-06-01,"Vet & Animal Health",2000,1948
"Riverbend Dairy Ltd",2025-07-01,"Vet & Animal Health",3500,3359
"Riverbend Dairy Ltd",2025-08-01,"Vet & Animal Health",5000,5002
"Riverbend Dairy Ltd",2025-09-01,"Vet & Animal Health",5000,4748
"Riverbend Dairy Ltd",2025-10-01,"Vet & Animal Health",4500,4663
"Riverbend Dairy Ltd",2025-11-01,"Vet & Animal Health",4000,3771
"Riverbend Dairy Ltd",2025-12-01,"Vet & Animal Health",2500,2618
"Riverbend Dairy Ltd",2026-01-01,"Vet & Animal Health",2000,1891
"Riverbend Dairy Ltd",2026-02-01,"Vet & Animal Health",2000,2118
"Riverbend Dairy Ltd",2026-03-01,"Vet & Animal Health",3000,3004
"Riverbend Dairy Ltd",2026-04-01,"Vet & Animal Health",2500,2460
"Riverbend Dairy Ltd",2026-05-01,"Vet & Animal Health",2000,2089
"Riverbend Dairy Ltd",2025-06-01,Wages,11000,11491
"Riverbend Dairy Ltd",2025-07-01,Wages,11000,11071
