date,source,body
2025-08-14,Diary,"Two ewes down with bearing trouble behind the yards, had to put them down."
2025-09-03,Diary,"Lost a cow calving overnight, couldn't get to her in time."
2025-10-06,Diary,"Docked 1,240 lambs. Good tally considering the cold spring."
2025-10-19,Diary,"Cold snap after docking - picked up a dozen dead lambs across the flats."
2025-10-24,Diary,"Found 3 ewes cast in the swamp paddock, all dead. Fenced it off."
2025-10-28,Diary,"62 calves on the ground, calling that calving done."
2025-11-30,Diary,"Killed 2 lambs for the freezer."
2025-12-12,Sale docket,"PGG Wrightson sale docket S-40102: 210 lambs @ $128.00 = $26,880.00"
2026-01-20,Sale docket,"PGG Wrightson sale docket S-40233: 350 lambs @ $131.00 = $45,850.00"
2026-02-14,Diary,"2 cows down in the dry, no feed left on the hill blocks."
2026-02-17,Sale docket,"PGG Wrightson sale docket S-40417: 180 lambs @ $142.00 = $25,560.00"
2026-02-24,Sale docket,"PGG Wrightson sale docket S-40417: 180 lambs @ $142.00 = $25,560.00"
2026-02-26,Sale docket,"PGG Wrightson sale docket S-40429: 145 cull ewes @ $89.00 = $12,905.00"
2026-02-26,Diary,"Another 3 cows gone this week. Ground like concrete, feeding out everything we have."
2026-03-05,Sale docket,"PGG Wrightson sale docket S-40488: 38 R2 steers @ $1,240.00 = $47,120.00"
2026-03-12,Diary,"Steers away on the truck this morning - 38 head. Yards look empty without them."
2026-03-09,Sale docket,"PGG Wrightson purchase docket P-11873: 120 two-tooth ewes @ $196.00 = $23,520.00"
2026-03-18,Sale docket,"PGG Wrightson sale docket S-40551: 240 lambs @ $138.00 = $33,120.00"
2026-05-30,Text message,"Text from Kate: sold 40 cull cows to the neighbour last week, cash deal, forgot to mention. can you sort the paperwork"
2026-06-05,Text message,"Text from Kate: correction on those cull cows - neighbour only ended up taking 38, we kept 2 back. sorry"
2026-06-09,Diary,"Big southerly through last night. Lost about 15 ewes near the creek, probably more up the back gully - will know for sure at crutching."
